rT ~ aa + bb * T,,,,,,,,
,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,aa,bb,contributor
Campbell et al. 1974,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,-0.04857143,0.00952381,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,-0.05384615,0.009615385,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,-0.03389831,0.008474576,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Aphis,craccivora,all,-0.10375,0.0125,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Brevicoryne,brassicae,all,-0.05220588,0.007352941,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Brevicoryne,brassicae,all,-0.03937008,0.007874016,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Brevicoryne,brassicae,all,-0.03571429,0.005494505,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Brevicoryne,brassicae,all,-0.02883436,0.006134969,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Macrosiphon,avenae,all,-0.04102564,0.008547009,François Rebaudo
Campbell et al. 1974,Hemiptera,Aphididae,Macrosiphon,maxima,all,-0.0312,0.008,François Rebaudo
Ozgokce et al. 2016,Lepidoptera,Gelechiidae,Tuta,absoluta,all,-0.021,0.0024,François Rebaudo
Lamb 1992,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,-0.0374,0.0097,François Rebaudo
Lamb 1992,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,-0.0311,0.0091,François Rebaudo
Kontodimas et al. 2004,Coleoptera,Coccinellidae,Nephus,includens,all,-0.0222,0.002,François Rebaudo
Kontodimas et al. 2004,Coleoptera,Coccinellidae,Nephus,bisignatus,all,-0.0153,0.0016,François Rebaudo
Miyashita and Ito 1968,Lepidoptera,Arctiidae,Hyphantria,cunea,larva,-0.03056,0.00326,François Rebaudo
Miyashita and Ito 1968,Lepidoptera,Arctiidae,Hyphantria,cunea,larva + pupa,-0.01736,0.00159,François Rebaudo
Miyashita and Ito 1968,Lepidoptera,Arctiidae,Hyphantria,cunea,eggs,-0.13733,0.0109,François Rebaudo
Miyashita and Ito 1968,Lepidoptera,Arctiidae,Hyphantria,cunea,larva,-0.02093,0.0021,François Rebaudo
Miyashita and Ito 1968,Lepidoptera,Arctiidae,Hyphantria,cunea,pupa,-0.073,0.00574,François Rebaudo
Miyashita and Ito 1968,Lepidoptera,Arctiidae,Hyphantria,cunea,pupa,-0.07379,0.00579,François Rebaudo
Miyashita 1971,Lepidoptera,Noctuidae,Spodoptera,litura,eggs,-0.1589,0.0157,François Rebaudo
Miyashita 1971,Lepidoptera,Noctuidae,Spodoptera,litura,larva,-0.0467,0.0044,François Rebaudo
Miyashita 1971,Lepidoptera,Noctuidae,Spodoptera,litura,prepupa,-0.4379,0.0366,François Rebaudo
Miyashita 1971,Lepidoptera,Noctuidae,Spodoptera,litura,pupa,-0.0487,0.0054,François Rebaudo
Miyashita 1971,Lepidoptera,Noctuidae,Spodoptera,litura,all,-0.0195,0.0019,François Rebaudo
Miyashita 1971,Lepidoptera,Noctuidae,Spodoptera,litura,larva,-0.0489,0.004,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,eggs,-0.2191,0.0175,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,larva,-0.0599,0.0049,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,larva female,-0.0294,0.0049,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,larva male,-0.0601,0.0049,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,pupa,-0.1752,0.0123,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,pupa female,-0.1847,0.0128,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,pupa male,-0.1672,0.0119,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,larva + pupa,-0.0432,0.0034,François Rebaudo
Wada and Kobayashi 1979,Lepidoptera,Pyralidae,Cnaphalocrocis,medinalis,all,-0.0364,0.0029,François Rebaudo
Zamani et al. 2006,Hemiptera,Aphididae,Aphis,gossypii,all,-0.0638,0.0103,François Rebaudo
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,eggs,-0.1339,0.013,François Rebaudo
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,larva,-0.0301,0.0033,François Rebaudo
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,pupa,-0.0459,0.0044,François Rebaudo
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,all,-0.0165,0.0017,François Rebaudo
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,eggs,-0.199,0.017,François Rebaudo
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,larva,-0.060,0.005,François Rebaudo
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,pupa,-0.133,0.011,François Rebaudo
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,all,-0.034,0.003,François Rebaudo
Braby et al. 2003,Lepidoptera,Pieridae,Delias,nigrina,all,-0.018793,0.002023,François Rebaudo
Braby et al. 2003,Lepidoptera,Pieridae,Delias,nigrina,larva+pupa,-0.036238,0.003436,François Rebaudo
Braby et al. 2003,Lepidoptera,Pieridae,Delias,nigrina,pupa,-0.074145,0.006871,François Rebaudo
Bentz et al. 1991,Coleoptera,Scolytidae,Dendroctonus,ponderosae,L4,-0.1094786,0.010013,François Rebaudo
Bentz et al. 1991,Coleoptera,Scolytidae,Dendroctonus,ponderosae,L5,-0.2914841,0.022251,François Rebaudo
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,eggs,-0.0134,0.0110,François Rebaudo
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L1,-0.1433,0.0155,François Rebaudo
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L2,-0.1472,0.0176,François Rebaudo
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L3,-0.1164,0.0160,François Rebaudo
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L4,-0.1255,0.0153,François Rebaudo
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L5,-0.5170,0.0080,François Rebaudo
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,pupa,-0.0827,0.0074,François Rebaudo
Bryant et al. 1997,Lepidoptera,Nymphalidae,Aglais,all,urticae,-0.03485,0.003303,François Rebaudo
Bryant et al. 1997,Lepidoptera,Nymphalidae,Aglais,io,all,-0.02195,0.002377,François Rebaudo
Bryant et al. 1997,Lepidoptera,Nymphalidae,Polygonia,c-album,all,-0.01623,0.002428,François Rebaudo
Bryant et al. 1997,Lepidoptera,Nymphalidae,Vanessa,atalanta,all,-0.01761,0.002419,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,eggs,-0.0885,0.0134,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,L1,-0.1895,0.0192,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,L2,-0.1466,0.0188,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,L3,-0.1047,0.0159,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,L4,-0.0703,0.0138,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,L5,-0.1387,0.0200,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,L6,-0.0508,0.0070,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,larva,-0.014,0.0021,François Rebaudo
Doerr et al. 2002,Lepidoptera,Noctuidae,Lacanobia,subjuncta,pupa,-0.0156,0.0032,François Rebaudo
