rT ~ phi * (((T-Tb)^2 / ((T-Tb)^2 + aa^2)) - exp(-(Tmax - (T-Tb))/deltaT)),,,,,,,,,,,
,,,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,phi,aa,Tb,Tmax,deltaT,contributor
Hilbert and Logan 1983,Orthoptera,Acrididae,Melanoplus,sanguinipes,all,0.2676,58.62,7.657,45.02,3.433,François Rebaudo
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,eggs,0.2125,48.8589,5.5579,35.9055,3.6909,François Rebaudo
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,larva,0.634,69.3089,3.2715,38.1625,3.0796,François Rebaudo
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,pupa,1.7924,99.1662,4.4538,41.3152,3.713,François Rebaudo
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,all,0.2125,48.8589,5.5579,35.9055,3.6909,François Rebaudo
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,L1,0.4111,23.9261,0.1486,27.961,0.2160,François Rebaudo
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,L2,0.5991,18.1484,3.8694,30.5228,0.9997,François Rebaudo
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,L4,0.3259,9.3369,7.2387,30.2776,1.0234,François Rebaudo
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,L5,0.1355,1.8362,11.4295,34.9999,1.8994,François Rebaudo
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,all,0.0521,8.2110,7.8034,29.9995,0.9499,François Rebaudo
