rT ~ exp(aa * T) - exp(aa * Tmax - (Tmax - T)/deltaT) + bb,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,aa,Tmax,deltaT,bb,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Zamani et al. 2006,Hemiptera,Aphididae,Aphis,gossypii,all,0.009,35.299,0.201,-1.049,FR,10.1111/j.1439-0418.2006.01088.x,Journal of Applied Entomology,2006,10,35,6,45,16:8,65,Iran,38.252986,48.299232,NA
Fantinou et al. 2003,Lepidoptera,Noctuidae,Sesamia,nonagrioides,eggs,0.0073,30.3896,0.1144,-1.0757,FR,10.1603/0046-225X-32.6.1337,Environmental Entomology,2003,20,30,5,50,16:8,55,Greece,38.450185,23.050086,NA
Fantinou et al. 2003,Lepidoptera,Noctuidae,Sesamia,nonagrioides,eggs,0.0061,40.8473,0.5375,-1.0403,FR,10.1603/0046-225X-32.6.1337,Environmental Entomology,2003,20,30,5,50,16:8,55,Greece,38.450185,23.050086,alternating temperature
Fantinou et al. 2003,Lepidoptera,Noctuidae,Sesamia,nonagrioides,larva,0.0017,44.2713,0.4165,-1.0151,FR,10.1603/0046-225X-32.6.1337,Environmental Entomology,2003,20,30,5,50,16:8,55,Greece,38.450185,23.050086,NA
Fantinou et al. 2003,Lepidoptera,Noctuidae,Sesamia,nonagrioides,larva,0.0014,48.4214,0.6937,-1.0083,FR,10.1603/0046-225X-32.6.1337,Environmental Entomology,2003,20,30,5,50,16:8,55,Greece,38.450185,23.050086,alternating temperature
Fantinou et al. 2003,Lepidoptera,Noctuidae,Sesamia,nonagrioides,pupa,0.0091,48.1542,6.3328,-1.1307,FR,10.1603/0046-225X-32.6.1337,Environmental Entomology,2003,20,30,5,50,16:8,55,Greece,38.450185,23.050086,NA
Fantinou et al. 2003,Lepidoptera,Noctuidae,Sesamia,nonagrioides,pupa,0.0077,45.9451,5.5673,-1.0983,FR,10.1603/0046-225X-32.6.1337,Environmental Entomology,2003,20,30,5,50,16:8,55,Greece,38.450185,23.050086,alternating temperature
Kumar and Kontodimas 2012,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,eggs,0.034,41.378,2.733,-1.609,FR,NA,Entomologia Hellenica,2012,15,40,9,NA,14:10,75,NA,NA,NA,NA
Kumar and Kontodimas 2012,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,L1,0.008,43.973,2.752,-1.054,FR,NA,Entomologia Hellenica,2012,15,40,9,NA,14:10,75,NA,NA,NA,NA
Kumar and Kontodimas 2012,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,L2,0.011,45.493,4.666,-1.052,FR,NA,Entomologia Hellenica,2012,15,40,9,NA,14:10,75,NA,NA,NA,NA
Kumar and Kontodimas 2012,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,L3 female,0.009,44.849,3.769,-1.015,FR,NA,Entomologia Hellenica,2012,15,40,9,NA,14:10,75,NA,NA,NA,NA
