rT ~ Rm * exp(-1/2 * ((T - Tm)/To)^2),,,,,,,,,
,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,Rm,Tm,To,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Taylor 1981,Hemiptera,Lygaeidae,Geocoris,articolor,all,0.055,37.2,8.8,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Lygaeidae,Geocoris,pallens,all,0.063,37,8.6,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Lygaeidae,Geocoris,punctipes,all,0.044,33.8,7.7,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Miridae,Lygus,desetinus,all,0.056,32.1,9.8,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Miridae,Lygus,hesperus,all,0.062,36.2,12.8,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,0.165,26.2,9,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Aphididae,Acyrthosiphon,pisum,all,0.151,27.5,11,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Aphididae,Brevicoryne,brassicae,all,0.097,26.4,10.5,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Aphididae,Brevicoryne,brassicae,all,0.1,26.6,8.4,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Aphididae,Hyadaphis,pseudobrassicae,all,0.144,26,9.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Aphididae,Macrosiphum,euphorbiae,all,0.14,30.6,14.6,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Aphididae,Myzus,persicae,all,0.129,24.7,9.3,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Aphididae,Myzus,persicae,all,0.155,26.3,10.4,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Cicadellidae,Circulifer,tenelus,all,0.052,35.2,9.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Hemiptera,Cicadellidae,Empoasca,fabae,all,0.071,30.7,8.9,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Bruchidae,Callosobruchus,rhodesianus,all,0.039,31.2,8,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Chrysomelidae,Crioceris,asparagi,all,0.071,37.6,13.3,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Chrysomelidae,Oulema,melanopus,all,0.051,33.7,11.5,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Cucujidae,Cryptolestes,ferrugineus,all,0.047,36.5,9.4,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Curculionidae,Anthonomus,grandis,all,0.075,36.7,9.4,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Curculionidae,Hypera,brunneipennis,all,0.058,36.8,12.3,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Curculionidae,Hypera,postica,all,0.074,37.8,11.9,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Dermestidae,Dermestes,frischii,45% RH,0.019,31.6,6.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Dermestidae,Dermestes,frischii,60% RH,0.025,33.2,7.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Dermestidae,Dermestes,frischii,75% RH,0.032,34,7.7,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Dermestidae,Dermestes,frischii,90% RH,0.039,34.3,8.4,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Tenebrionidae,Tribolium,castaneum,all,0.049,34.6,7.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Coleoptera,Tenebrionidae,Tribolium,confusum,all,0.038,32.8,7.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor 1981,Lepidoptera,Arctiidae,Hyphantria,cunea,all,0.031,32.9,9.5,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
