rT ~ 1/( (1 + exp((cc/1.987) * ((1/dd) - (1/(T + 273.16))) )) / (aa*(T + 273.16)/298.15*exp( (bb/1.987)*((1/298.15) - 1/(T + 273.16)) ) ) ),,,,,,,,,,,
,,,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,aa,bb,cc,dd,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Hagstrum et Milliken 1988,Coleoptera,Laemophloeidae,Cryptolestes,turcicus,eggs,0.674,40014,39341,294.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Silvanidae,Oryzaephilus,surinamensis,eggs,0.552,37492,34088,294.5,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Curculionidae,Sitophilus,oryzae,eggs,0.333,30611,52961,301.3,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Tenebrionoidea,Tribolium,confusum,eggs,0.274,40062,44426,297.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Laemophloeidae,Cryptolestes,ferrugineus,eggs,0.187,25739,40926,305.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Laemophloeidae,Cryptolestes,pusillus,eggs,0.187,25739,40926,305.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Cerambycidae,Tropidion,castaneum,eggs,0.187,25739,40926,305.2,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Bostrichidae,Rhyzopertha,dominica,eggs,0.182,40271,41848,299.0,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Cerambycidae,Tropidion,castaneum,pupa,0.141,34661,37073,302.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hagstrum et Milliken 1988,Coleoptera,Tenebrionoidea,Tribolium,confusum,pupa,0.141,34661,37073,302.1,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
