rT ~ (K / (1 + exp(-r*(T - T0)))) * (1 - exp(-(T - TL)/aa)) * (1-exp(-(TH - T)/aa)),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,K,r,T0,TL,TH,aa,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Li and Jackson 1996,Araneae,Titanoecidae,Nurscia,albofasciata,all,0.045,0.15,31,13,40,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,25,37,5,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao 1993"
Li and Jackson 1996,Araneae,Dictynidae,Dictyna,felis,all,0.043,0.15,28,14,37,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,35,6,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao 1993"
Li and Jackson 1996,Araneae,Araneidae,Cyrtophora,cicatrosa,all,0.019,0.12,27,16,42,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,37,4,NA,12:12,NA,India,10.3833333,77.5166667,"data from Palanichamy 1985"
Li and Jackson 1996,Araneae,Araneidae,Neoscona,doenitzi,all,0.052,0.15,28,11,43,4,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,37,7,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao and Yu 1988"
Li and Jackson 1996,Araneae,Tetragnathidae,Tetragnatha,praedonia,all,0.051,0.15,29,6,38,3,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,35,6,NA,14:10,NA,China,30.5833333,114.3166667,"data from Chen and Zhao 1991"
Li and Jackson 1996,Araneae,Tetragnathidae,Tetragnatha,cerniformis,all,0.054,1.5,29,9,40,3,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,35,6,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao and Chen 1991"
Li and Jackson 1996,Araneae,Theridiidae,Coleosoma,octomaculatum,all,0.093,0.14,29,9,40,3,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,35,6,NA,14:10,NA,China,30.5833333,114.3166667,"data from Sun and Zhao 1990"
Li and Jackson 1996,Araneae,Linyphiidae,Erigonidium,graminicolum,all,0.052,0.15,25,9,38,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,15,35,6,NA,14:10,NA,China,30.5833333,114.3166667,"data from Li 1995"
Li and Jackson 1996,Araneae,Linyphiidae,Erigonidium,naniwaense,all,0.06,0.15,25,9,38,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,15,35,7,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao and Yuan 1990"
Li and Jackson 1996,Araneae,Linyphiidae,Gnathonarium,gibberum,all,0.05,0.15,25,12,37,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,32,5,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao 1993"
Li and Jackson 1996,Araneae,Linyphiidae,Ummeliata,insecticeps,all,0.04,0.15,25,5,35,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,32,4,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao and Liu 1987"
Li and Jackson 1996,Araneae,Lycosidae,Pardosa,astrigera,all,0.037,0.15,29,12,37,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,35,6,NA,14:10,NA,China,30.5833333,114.3166667,"data from Chen and Zhao 1990b"
Li and Jackson 1996,Araneae,Lycosidae,Pardosa,pseudoannulata,all,0.045,0.15,28,15,40,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,39,7,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao and Yuan 1989"
Li and Jackson 1996,Araneae,Lycosidae,Pirata,tenuisetaceus,all,0.044,0.15,28,10,37,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,35,6,NA,14:10,NA,China,30.5833333,114.3166667,"data from Zhao 1987"
Li and Jackson 1996,Araneae,Clubionidae,Clubiona,reichlini,all,0.037,0.15,28,14,38,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,20,33,5,NA,14:10,NA,China,20.1666667,113,"data from Yan and Wang 1986"
Li and Jackson 1996,Araneae,Thomisidae,Misumenops,tricuspidatus,all,0.037,0.15,28,8,38,2,FR,10.1016/0306-4565(96)00009-5,Journal of Thermal Biology,1996,15,35,5,NA,14:10,NA,China,30.5833333,114.3166667,"data from Li and Zhao 1991b"
Liu et al. 2002,Lepidoptera,Plutellidae,Plutella,xylostella,eggs,NA,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-31.2.221,Environmental Entomology,2002,5,35,18,98,12:12,75,China,30.281848,120.169105,NA
Liu et al. 2002,Lepidoptera,Plutellidae,Plutella,xylostella,L1,NA,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-31.2.221,Environmental Entomology,2002,5,35,18,98,12:12,75,China,30.281848,120.169105,NA
Liu et al. 2002,Lepidoptera,Plutellidae,Plutella,xylostella,L2,NA,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-31.2.221,Environmental Entomology,2002,5,35,18,98,12:12,75,China,30.281848,120.169105,NA
Liu et al. 2002,Lepidoptera,Plutellidae,Plutella,xylostella,L3,NA,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-31.2.221,Environmental Entomology,2002,5,35,18,98,12:12,75,China,30.281848,120.169105,NA
Liu et al. 2002,Lepidoptera,Plutellidae,Plutella,xylostella,L4,NA,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-31.2.221,Environmental Entomology,2002,5,35,18,98,12:12,75,China,30.281848,120.169105,NA
Liu et al. 2002,Lepidoptera,Plutellidae,Plutella,xylostella,prepupa,NA,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-31.2.221,Environmental Entomology,2002,5,35,18,98,12:12,75,China,30.281848,120.169105,NA
Liu et al. 2002,Lepidoptera,Plutellidae,Plutella,xylostella,pupa,NA,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-31.2.221,Environmental Entomology,2002,5,35,18,98,12:12,75,China,30.281848,120.169105,NA
