rT ~ phi * (((T-Tb)^2 / ((T-Tb)^2 + aa^2)) - exp(-(Tmax - (T-Tb))/deltaT)),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,phi,aa,Tb,Tmax,deltaT,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Hilbert and Logan 1983,Orthoptera,Acrididae,Melanoplus,sanguinipes,all,0.2676,58.62,7.657,45.02,3.433,FR,10.1093/ee/12.1.1,Environmental Entomology,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,eggs,0.2125,48.8589,5.5579,35.9055,3.6909,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,larva,0.634,69.3089,3.2715,38.1625,3.0796,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,pupa,1.7924,99.1662,4.4538,41.3152,3.713,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,all,0.2125,48.8589,5.5579,35.9055,3.6909,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,L1,0.4111,23.9261,0.1486,27.961,0.2160,FR,10.1603/0013-8746(2000)093[0096:DSAROA]2.0.CO;2,Annals of the Entomological Society of America,2000,14,30,5,30,16:8,65,Greece,38.450185,23.050086,NA
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,L2,0.5991,18.1484,3.8694,30.5228,0.9997,FR,10.1603/0013-8746(2000)093[0096:DSAROA]2.0.CO;2,Annals of the Entomological Society of America,2000,14,30,5,30,16:8,65,Greece,38.450185,23.050086,NA
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,L4,0.3259,9.3369,7.2387,30.2776,1.0234,FR,10.1603/0013-8746(2000)093[0096:DSAROA]2.0.CO;2,Annals of the Entomological Society of America,2000,14,30,5,30,16:8,65,Greece,38.450185,23.050086,NA
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,L5,0.1355,1.8362,11.4295,34.9999,1.8994,FR,10.1603/0013-8746(2000)093[0096:DSAROA]2.0.CO;2,Annals of the Entomological Society of America,2000,14,30,5,30,16:8,65,Greece,38.450185,23.050086,NA
Milonas and Savopoulou-Soultani 2000,Lepidoptera,Tortricidae,Adoxophyes,orana,all,0.0521,8.2110,7.8034,29.9995,0.9499,FR,10.1603/0013-8746(2000)093[0096:DSAROA]2.0.CO;2,Annals of the Entomological Society of America,2000,14,30,5,30,16:8,65,Greece,38.450185,23.050086,NA
Kontodimas et al. 2004,Coleoptera,Coccinellidae,Nephus,includens,all,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-33.1.1,Environmental Entomology,2004,10,37.5,8,25,16:8,65,Grece,38.006485,23.765652,NA
Kontodimas et al. 2004,Coleoptera,Coccinellidae,Nephus,bisignatus,all,NA,NA,NA,NA,NA,FR,10.1603/0046-225X-33.1.1,Environmental Entomology,2004,10,37.5,8,25,16:8,65,Grece,38.006485,23.765652,NA
Regniere et al. 2012,Lepidoptera,Tortricidae,Choristoneura,occidentalis,eggs,0.761,1861.4,2,43,4.78,FR,10.1016/j.jinsphys.2012.01.010,Journal of Insect Physiology,2012,4.7,28,7,20,NA,NA,NA,NA,NA,NA
Regniere et al. 2012,Coleoptera,Curculionidae,Dendroctonus,ponderosae,eggs,0.831,1500,1.6,27.5,0.675,FR,10.1016/j.jinsphys.2012.01.010,Journal of Insect Physiology,2012,7.6,31.9,7,NA,NA,NA,NA,NA,NA,NA
